REGION,YEAR,WEEK,ILITOTAL
Region 7,1999,10,179
Region 8,1999,10,243
Region 9,1999,10,526
Region 10,1999,10,37
Region 1,1999,11,139
Region 2,1999,11,9
Region 3,1999,11,295
Region 4,1999,11,235
Region 5,1999,11,590
Region 6,1999,11,128
Region 7,1999,11,179
Region 8,1999,11,153
Region 9,1999,11,306
Region 10,1999,11,36
Region 1,1999,12,128
Region 2,1999,12,12
Region 3,1999,12,195
Region 4,1999,12,229
Region 5,1999,12,330
Region 6,1999,12,84
Region 7,1999,12,96
Region 8,1999,12,124
Region 9,1999,12,462
Region 10,1999,12,36
Region 1,1999,13,67
Region 2,1999,13,6
Region 3,1999,13,114
Region 4,1999,13,120
Region 5,1999,13,208
Region 6,1999,13,63
Region 7,1999,13,86
Region 8,1999,13,97
Region 9,1999,13,305
Region 10,1999,13,25
Region 1,1999,14,51
Region 2,1999,14,0
Region 3,1999,14,82
Region 4,1999,14,77
Region 5,1999,14,116
Region 6,1999,14,24
Region 7,1999,14,36
Region 8,1999,14,37
Region 9,1999,14,184
Region 10,1999,14,25
Region 1,1999,15,26
Region 2,1999,15,7
Region 3,1999,15,74
Region 4,1999,15,45
Region 5,1999,15,69
Region 6,1999,15,10
Region 7,1999,15,37
Region 8,1999,15,36
Region 9,1999,15,75
Region 10,1999,15,17
Region 1,1999,16,21
Region 2,1999,16,0
Region 3,1999,16,60
Region 4,1999,16,44
Region 5,1999,16,33
Region 6,1999,16,6
Region 7,1999,16,31
Region 8,1999,16,16
Region 9,1999,16,49
Region 10,1999,16,11
Region 1,1999,17,28
Region 2,1999,17,0
Region 3,1999,17,60
Region 4,1999,17,29
Region 5,1999,17,40
Region 6,1999,17,9
Region 7,1999,17,34
Region 8,1999,17,13
Region 9,1999,17,172
Region 10,1999,17,14
Region 1,1999,18,9
Region 2,1999,18,13
Region 3,1999,18,51
Region 4,1999,18,16
Region 5,1999,18,20
Region 6,1999,18,1
Region 7,1999,18,22
Region 8,1999,18,14
Region 9,1999,18,31
Region 10,1999,18,3
Region 1,1999,19,12
Region 2,1999,19,10
Region 3,1999,19,73
Region 4,1999,19,19
Region 5,1999,19,15
Region 6,1999,19,2
Region 7,1999,19,22
Region 8,1999,19,9
Region 9,1999,19,124
Region 10,1999,19,6
Region 1,1999,20,1
Region 2,1999,20,13
Region 3,1999,20,62
Region 4,1999,20,19
Region 5,1999,20,26
Region 6,1999,20,0
Region 7,1999,20,25
Region 8,1999,20,4
Region 9,1999,20,127
Region 10,1999,20,6
Region 1,1999,21,0
Region 2,1999,21,0
Region 3,1999,21,0
Region 4,1999,21,0
Region 5,1999,21,0
Region 6,1999,21,0
Region 7,1999,21,0
Region 8,1999,21,0
Region 9,1999,21,0
Region 10,1999,21,0
Region 1,1999,22,0
Region 2,1999,22,0
Region 3,1999,22,0
Region 4,1999,22,0
Region 5,1999,22,0
Region 6,1999,22,0
Region 7,1999,22,0
Region 8,1999,22,0
Region 9,1999,22,0
Region 10,1999,22,0
Region 1,1999,23,0
Region 2,1999,23,0
Region 3,1999,23,0
Region 4,1999,23,0
Region 5,1999,23,0
Region 6,1999,23,0
Region 7,1999,23,0
Region 8,1999,23,0
Region 9,1999,23,0
Region 10,1999,23,0
Region 1,1999,24,0
Region 2,1999,24,0
Region 3,1999,24,0
Region 4,1999,24,0
Region 5,1999,24,0
Region 6,1999,24,0
Region 7,1999,24,0
Region 8,1999,24,0
Region 9,1999,24,0
Region 10,1999,24,0
Region 1,1999,25,0
Region 2,1999,25,0
Region 3,1999,25,0
Region 4,1999,25,0
Region 5,1999,25,0
Region 6,1999,25,0
Region 7,1999,25,0
Region 8,1999,25,0
Region 9,1999,25,0
Region 10,1999,25,0
Region 1,1999,26,0
Region 2,1999,26,0
Region 3,1999,26,0
Region 4,1999,26,0
Region 5,1999,26,0
Region 6,1999,26,0
Region 7,1999,26,0
Region 8,1999,26,0
Region 9,1999,26,0
Region 10,1999,26,0
Region 1,1999,27,0
Region 2,1999,27,0
Region 3,1999,27,0
Region 4,1999,27,0
Region 5,1999,27,0
Region 6,1999,27,0
Region 7,1999,27,0
Region 8,1999,27,0
Region 9,1999,27,0
Region 10,1999,27,0
Region 1,1999,28,0
Region 2,1999,28,0
Region 3,1999,28,0
Region 4,1999,28,0
Region 5,1999,28,0
Region 6,1999,28,0
Region 7,1999,28,0
Region 8,1999,28,0
Region 9,1999,28,0
Region 10,1999,28,0
Region 1,1999,29,0
Region 2,1999,29,0
Region 3,1999,29,0
Region 4,1999,29,0
Region 5,1999,29,0
Region 6,1999,29,0
Region 7,1999,29,0
Region 8,1999,29,0
Region 9,1999,29,0
Region 10,1999,29,0
Region 1,1999,30,0
Region 2,1999,30,0
Region 3,1999,30,0
Region 4,1999,30,0
Region 5,1999,30,0
Region 6,1999,30,0
Region 7,1999,30,0
Region 8,1999,30,0
Region 9,1999,30,0
Region 10,1999,30,0
Region 1,1999,31,0
Region 2,1999,31,0
Region 3,1999,31,0
Region 4,1999,31,0
Region 5,1999,31,0
Region 6,1999,31,0
Region 7,1999,31,0
Region 8,1999,31,0
Region 9,1999,31,0
Region 10,1999,31,0
Region 1,1999,32,0
Region 2,1999,32,0
Region 3,1999,32,0
Region 4,1999,32,0
Region 5,1999,32,0
Region 6,1999,32,0
Region 7,1999,32,0
Region 8,1999,32,0
Region 9,1999,32,0
Region 10,1999,32,0
Region 1,1999,33,0
Region 2,1999,33,0
Region 3,1999,33,0
Region 4,1999,33,0
Region 5,1999,33,0
Region 6,1999,33,0
Region 7,1999,33,0
Region 8,1999,33,0
Region 9,1999,33,0
Region 10,1999,33,0
Region 1,1999,34,0
Region 2,1999,34,0
Region 3,1999,34,0
Region 4,1999,34,0
Region 5,1999,34,0
Region 6,1999,34,0
Region 7,1999,34,0
Region 8,1999,34,0
Region 9,1999,34,0
Region 10,1999,34,0
Region 1,1999,35,0
Region 2,1999,35,0
Region 3,1999,35,0
Region 4,1999,35,0
Region 5,1999,35,0
Region 6,1999,35,0
Region 7,1999,35,0
Region 8,1999,35,0
Region 9,1999,35,0
Region 10,1999,35,0
Region 1,1999,36,0
Region 2,1999,36,0
Region 3,1999,36,0
Region 4,1999,36,0
Region 5,1999,36,0
Region 6,1999,36,0
Region 7,1999,36,0
Region 8,1999,36,0
Region 9,1999,36,0
Region 10,1999,36,0
Region 1,1999,37,0
Region 2,1999,37,0
Region 3,1999,37,0
Region 4,1999,37,0
Region 5,1999,37,0
Region 6,1999,37,0
Region 7,1999,37,0
Region 8,1999,37,0
Region 9,1999,37,0
Region 10,1999,37,0
Region 1,1999,38,0
Region 2,1999,38,0
Region 3,1999,38,0
Region 4,1999,38,0
Region 5,1999,38,0
Region 6,1999,38,0
Region 7,1999,38,0
Region 8,1999,38,0
Region 9,1999,38,0
Region 10,1999,38,0
Region 1,1999,39,0
Region 2,1999,39,0
Region 3,1999,39,0
Region 4,1999,39,0
Region 5,1999,39,0
Region 6,1999,39,0
Region 7,1999,39,0
Region 8,1999,39,0
Region 9,1999,39,0
Region 10,1999,39,0
Region 1,1999,40,22
Region 2,1999,40,0
Region 3,1999,40,73
Region 4,1999,40,246
Region 5,1999,40,109
Region 6,1999,40,8
Region 7,1999,40,55
Region 8,1999,40,92
Region 9,1999,40,166
Region 10,1999,40,20
Region 1,1999,41,50
Region 2,1999,41,17
Region 3,1999,41,74
Region 4,1999,41,320
Region 5,1999,41,109
Region 6,1999,41,68
Region 7,1999,41,70
Region 8,1999,41,103
Region 9,1999,41,167
Region 10,1999,41,19
Region 1,1999,42,30
Region 2,1999,42,20
Region 3,1999,42,82
Region 4,1999,42,348
