REGION,YEAR,WEEK,ILITOTAL
New Jersey,2020,51,594
New Mexico,2020,51,527
New York,2020,51,614
North Carolina,2020,51,906
North Dakota,2020,51,37
Ohio,2020,51,176
Oklahoma,2020,51,110
Oregon,2020,51,355
Pennsylvania,2020,51,621
Rhode Island,2020,51,53
South Carolina,2020,51,230
South Dakota,2020,51,38
Tennessee,2020,51,554
Texas,2020,51,638
Utah,2020,51,186
Vermont,2020,51,34
Virginia,2020,51,1365
Washington,2020,51,142
West Virginia,2020,51,109
Wisconsin,2020,51,90
Wyoming,2020,51,27
Commonwealth of the Northern Mariana Islands,2020,51,X
Puerto Rico,2020,51,113
Virgin Islands,2020,51,6
New York City,2020,51,667
Alabama,2020,52,532
Alaska,2020,52,25
Arizona,2020,52,188
Arkansas,2020,52,184
California,2020,52,1070
Colorado,2020,52,142
Connecticut,2020,52,393
Delaware,2020,52,60
District of Columbia,2020,52,108
Florida,2020,52,3809
Georgia,2020,52,1486
Hawaii,2020,52,8
Idaho,2020,52,80
Illinois,2020,52,470
Indiana,2020,52,430
Iowa,2020,52,20
Kansas,2020,52,99
Kentucky,2020,52,282
Louisiana,2020,52,358
Maine,2020,52,54
Maryland,2020,52,463
Massachusetts,2020,52,552
Michigan,2020,52,37
Minnesota,2020,52,32
Mississippi,2020,52,282
Missouri,2020,52,307
Montana,2020,52,51
Nebraska,2020,52,102
Nevada,2020,52,135
New Hampshire,2020,52,2
New Jersey,2020,52,569
New Mexico,2020,52,504
New York,2020,52,638
North Carolina,2020,52,827
North Dakota,2020,52,27
Ohio,2020,52,143
Oklahoma,2020,52,130
Oregon,2020,52,306
Pennsylvania,2020,52,605
Rhode Island,2020,52,44
South Carolina,2020,52,220
South Dakota,2020,52,37
Tennessee,2020,52,485
Texas,2020,52,722
Utah,2020,52,170
Vermont,2020,52,24
Virginia,2020,52,1525
Washington,2020,52,124
West Virginia,2020,52,75
Wisconsin,2020,52,63
Wyoming,2020,52,15
Commonwealth of the Northern Mariana Islands,2020,52,X
Puerto Rico,2020,52,89
Virgin Islands,2020,52,24
New York City,2020,52,708
Alabama,2020,53,664
Alaska,2020,53,15
Arizona,2020,53,219
Arkansas,2020,53,183
California,2020,53,1070
Colorado,2020,53,131
Connecticut,2020,53,348
Delaware,2020,53,85
District of Columbia,2020,53,103
Florida,2020,53,4767
Georgia,2020,53,1992
Hawaii,2020,53,11
Idaho,2020,53,99
Illinois,2020,53,533
Indiana,2020,53,475
Iowa,2020,53,14
Kansas,2020,53,94
Kentucky,2020,53,407
Louisiana,2020,53,475
Maine,2020,53,55
Maryland,2020,53,507
Massachusetts,2020,53,571
Michigan,2020,53,40
Minnesota,2020,53,41
Mississippi,2020,53,142
Missouri,2020,53,320
Montana,2020,53,27
Nebraska,2020,53,100
Nevada,2020,53,149
New Hampshire,2020,53,3
New Jersey,2020,53,560
New Mexico,2020,53,299
New York,2020,53,774
North Carolina,2020,53,1058
North Dakota,2020,53,25
Ohio,2020,53,103
Oklahoma,2020,53,171
Oregon,2020,53,307
Pennsylvania,2020,53,570
Rhode Island,2020,53,50
South Carolina,2020,53,259
South Dakota,2020,53,42
Tennessee,2020,53,584
Texas,2020,53,739
Utah,2020,53,208
Vermont,2020,53,33
Virginia,2020,53,1869
Washington,2020,53,128
West Virginia,2020,53,72
Wisconsin,2020,53,79
Wyoming,2020,53,16
Commonwealth of the Northern Mariana Islands,2020,53,X
Puerto Rico,2020,53,109
Virgin Islands,2020,53,2
New York City,2020,53,724
Alabama,2021,1,616
Alaska,2021,1,27
Arizona,2021,1,197
Arkansas,2021,1,150
California,2021,1,1131
Colorado,2021,1,178
Connecticut,2021,1,393
Delaware,2021,1,72
District of Columbia,2021,1,115
Florida,2021,1,4695
Georgia,2021,1,1931
Hawaii,2021,1,5
Idaho,2021,1,95
Illinois,2021,1,543
Indiana,2021,1,464
Iowa,2021,1,18
Kansas,2021,1,88
Kentucky,2021,1,411
Louisiana,2021,1,452
Maine,2021,1,54
Maryland,2021,1,471
Massachusetts,2021,1,563
Michigan,2021,1,86
Minnesota,2021,1,93
Mississippi,2021,1,218
Missouri,2021,1,265
Montana,2021,1,38
Nebraska,2021,1,102
Nevada,2021,1,139
New Hampshire,2021,1,3
New Jersey,2021,1,636
New Mexico,2021,1,297
New York,2021,1,816
North Carolina,2021,1,988
North Dakota,2021,1,26
Ohio,2021,1,176
Oklahoma,2021,1,170
Oregon,2021,1,334
Pennsylvania,2021,1,564
Rhode Island,2021,1,72
South Carolina,2021,1,265
South Dakota,2021,1,28
Tennessee,2021,1,518
Texas,2021,1,872
Utah,2021,1,192
Vermont,2021,1,30
Virginia,2021,1,1861
Washington,2021,1,89
West Virginia,2021,1,126
Wisconsin,2021,1,92
Wyoming,2021,1,28
Commonwealth of the Northern Mariana Islands,2021,1,X
Puerto Rico,2021,1,95
Virgin Islands,2021,1,1
New York City,2021,1,819
Alabama,2021,2,502
Alaska,2021,2,16
Arizona,2021,2,172
Arkansas,2021,2,148
California,2021,2,975
Colorado,2021,2,158
Connecticut,2021,2,369
Delaware,2021,2,63
District of Columbia,2021,2,122
Florida,2021,2,3965
Georgia,2021,2,1713
Hawaii,2021,2,13
Idaho,2021,2,81
Illinois,2021,2,501
Indiana,2021,2,417
Iowa,2021,2,20
Kansas,2021,2,81
Kentucky,2021,2,416
Louisiana,2021,2,329
Maine,2021,2,55
Maryland,2021,2,432
Massachusetts,2021,2,421
Michigan,2021,2,40
Minnesota,2021,2,64
Mississippi,2021,2,132
Missouri,2021,2,235
Montana,2021,2,40
Nebraska,2021,2,91
Nevada,2021,2,96
New Hampshire,2021,2,1
New Jersey,2021,2,539
New Mexico,2021,2,252
New York,2021,2,535
North Carolina,2021,2,802
North Dakota,2021,2,34
Ohio,2021,2,177
Oklahoma,2021,2,120
Oregon,2021,2,265
Pennsylvania,2021,2,399
